Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Koriya,658917,397823,173057,134014,351846
Surguja,2359886,1187941,622589,533218,1204079
Jashpur ,851669,495415,291349,196011,364309
Raigarh,1493984,951639,484875,205292,803817
Korba ,1206640,748759,350314,170872,685454
Janjgir - Champa,1619707,1019634,461887,384579,773241
Bilaspur,2663629,1596560,826568,376629,1460432
Kabeerdham,822526,414167,316976,87180,418370
Rajnandgaon,1537133,1008379,595959,204133,737041
Durg,3343872,2303378,1206793,290012,1847067
Raipur,4063872,2629749,1259138,498526,2306208
Mahasamund,1032754,637963,340802,158458,533494
Dhamtari ,799781,546833,335368,67527,396886
Uttar Bastar Kanker,748941,456042,285536,103823,359582
Bastar,1413199,650863,394824,331707,686668
Narayanpur,139820,56621,42056,29033,68731
Dakshin Bastar Dantewada,533638,191237,184285,102310,247043
Bijapur,255230,86919,69338,65187,120705
